Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
Achievements/WORLD_1_NORMAL_CLEAR	Achievements	Misty Forest Explorer	Erkundung des Nebelwalds	Explorador del Bosque Neblinoso	Explorateur de la Forêt des brumes	Esploratore della Foresta nebbiosa	霧のフォレスト探検記	안개숲 탐험가	Odkrywca Mglistego Lasu	Explorador da Floresta Nebulosa	Исследователь Туманного леса	迷雾森林探险者	迷霧森林探險者
Achievements/WORLD_1_NORMAL_CLEAR_DESC	Achievements	Clear the Misty Forest on Normal or higher.	Schließe den Nebelwald auf Schwierigkeitsgrad Normal ab.	Supera el Bosque Neblinoso en dificultad Normal o superior.	Terminez la Forêt des brumes en difficulté Normale ou plus.	Completa la Foresta nebbiosa in modalità Normale o superiore.	難易度ノーマル以上で「霧のフォレスト」をクリアする。	보통 이상 난이도에서 안개숲을 클리어하세요.	Ukończ Mglisty Las na poziomie trudności Normalnym lub wyższym.	Conclua a Floresta Nebulosa na dificuldade Normal ou superior.	Пройдите Туманный лес на уровне сложности «Обычный» или выше.	通过普通或更高难度的迷雾森林	通過普通或更高難度的迷霧森林
Achievements/WORLD_2_NORMAL_CLEAR	Achievements	Bone Desert Explorer	Erkundung der Knochenwüste	Explorador del Desierto Osario	Explorateur du Désert des os	Esploratore del Deserto delle ossa	骨のデザート探検記	뼈의 사막 탐험가	Odkrywca Pustyni Kości	Explorador do Deserto dos Ossos	Исследователь Костяной пустыни	白骨沙漠探险者	白骨沙漠探險者
Achievements/WORLD_2_NORMAL_CLEAR_DESC	Achievements	Clear the Bone Desert on Normal or higher.	Schließe die Knochenwüste auf Schwierigkeitsgrad Normal ab.	Supera el Desierto Osario en dificultad Normal o superior.	Terminez le Désert des os en difficulté Normale ou plus.	Completa il Deserto delle ossa in modalità Normale o superiore.	難易度ノーマル以上で「骨のデザート」をクリアする。	보통 이상 난이도에서 뼈의 사막을 클리어하세요.	Ukończ Pustynię Kości na poziomie trudności Normalnym lub wyższym.	Conclua o Deserto dos Ossos na dificuldade Normal ou superior.	Пройдите Костяную пустыню на уровне сложности «Обычный» или выше.	通过普通或更高难度的白骨沙漠	通過普通或更高難度的白骨沙漠
Achievements/WORLD_3_NORMAL_CLEAR	Achievements	Frost Ruins Explorer	Erkundung der Eisruine	Explorador de las Ruinas Heladas	Explorateur des Ruines gelées	Esploratore delle Rovine ghiacciate	氷のルーイン探検記	서리 유적 탐험가	Odkrywca Mroźnych Ruin	Explorador das Ruínas Gélidas	Исследователь Ледяных руин	寒霜遗迹探险者	寒霜遺跡探險者
Achievements/WORLD_3_NORMAL_CLEAR_DESC	Achievements	Clear the Frost Ruins on Normal or higher.	Schließe die Eisruine auf Schwierigkeitsgrad Normal ab.	Supera las Ruinas Heladas en dificultad Normal o superior.	Terminez les Ruines gelées en difficulté Normale ou plus.	Completa le Rovine ghiacciate in modalità Normale o superiore.	難易度ノーマル以上で「氷のルーイン」をクリアする。	보통 이상 난이도에서 서리 유적을 클리어하세요.	Ukończ Mroźne Ruiny na poziomie trudności Normalnym lub wyższym.	Conclua as Ruínas Gélidas na dificuldade Normal ou superior.	Пройдите Ледяные руины на уровне сложности «Обычный» или выше.	通过普通或更高难度的寒霜遗迹	通過普通或更高難度的寒霜遺跡
Achievements/WORLD_4_NORMAL_CLEAR	Achievements	Sealed Citadel Explorer	Erkundung der Versiegelten Zitadelle	Explorador de la Ciudadela Sellada	Explorateur de la Citadelle interdite	Esploratore della Cittadella Segreta	封印のシタデル探検記	봉인된 성채 탐험가	Odkrywca Zamkniętej Cytadeli	Explorador da Cidade Selada	Исследователь Запечатанной цитадели	封印之城探险者	封印之城探險者
Achievements/WORLD_4_NORMAL_CLEAR_DESC	Achievements	Clear the Sealed Citadel on Normal or higher.	Schließe die Versiegelte Zitadelle auf Schwierigkeitsgrad Normal ab.	Supera la Ciudadela Sellada en dificultad Normal o superior.	Terminez la Citadelle interdite en difficulté Normale ou plus.	Completa la Cittadella Segreta in modalità Normale o superiore.	難易度ノーマル以上で「封印のシタデル」をクリアする。	보통 이상 난이도에서 봉인된 성채를 클리어하세요.	Ukończ Zamkniętą Cytadelę na poziomie trudności Normalnym lub wyższym.	Conclua a Cidade Selada na dificuldade Normal ou superior.	Пройдите Запечатанную цитадель на уровне сложности «Обычный» или выше.	通过普通或更高难度的封印之城	通過普通或更高難度的封印之城
Achievements/WORLD_1_HEROIC_CLEAR	Achievements	Misty Forest Pioneer	Erschließung des Nebelwalds	Pionero del Bosque Neblinoso	Pionnier la Forêt des brumes	Pioniere della Foresta nebbiosa	霧のフォレスト開拓記	안개숲 개척자	Pionier Mglistego Lasu	Pioneiro da Floresta Nebulosa	Первопроходец Туманного леса	迷雾森林拓荒者	迷霧森林拓荒者
Achievements/WORLD_1_HEROIC_CLEAR_DESC	Achievements	Clear the Misty Forest on Heroic difficulty.	Schließe den Nebelwald auf Schwierigkeitsgrad Heroisch ab.	Supera el Bosque Neblinoso en dificultad Heroica.	Terminez la Forêt des brumes en difficulté Héroïque.	Completa la Foresta nebbiosa in modalità Eroica.	難易度ヒロイックで「霧のフォレスト」をクリアする。	영웅 이상 난이도에서 안개숲을 클리어하세요.	Ukończ Mglisty Las na poziomie trudności Heroicznym.	Conclua a Floresta Nebulosa na dificuldade Heroica.	Пройти Туманный лес на сложности «Героический»	通过英雄难度的迷雾森林	通過英雄難度的迷霧森林
Achievements/WORLD_2_HEROIC_CLEAR	Achievements	Bone Desert Pioneer	Erschließung der Knochenwüste	Pionero del Desierto Osario	Pionnier du Désert des os	Pioniere del Deserto delle ossa	骨のデザート開拓記	뼈의 사막 개척자	Pionier Pustyni Kości	Pioneiro do Deserto dos Ossos	Первопроходец Костяной пустыни	白骨沙漠拓荒者	白骨沙漠拓荒者
Achievements/WORLD_2_HEROIC_CLEAR_DESC	Achievements	Clear the Bone Desert on Heroic difficulty.	Schließe die Knochenwüste auf Schwierigkeitsgrad Heroisch ab.	Supera el Desierto Osario en dificultad Heroica.	Terminez le Désert des os en difficulté Héroïque.	Completa il Deserto delle ossa in modalità Eroica.	難易度ヒロイックで「骨のデザート」をクリアする。	영웅 이상 난이도에서 뼈의 사막을 클리어하세요.	Ukończ Pustynię Kości na poziomie trudności Heroicznym.	Conclua o Deserto dos Ossos na dificuldade Heroica.	Пройти Костяную пустыню на сложности «Героический»	通过英雄难度的白骨沙漠	通過英雄難度的白骨沙漠
Achievements/WORLD_3_HEROIC_CLEAR	Achievements	Frost Ruins Pioneer	Erschließung der Eisruine	Pionero de las Ruinas Heladas	Pionnier des Ruines gelées	Pioniere delle Rovine ghiacciate	氷のルーイン開拓記	서리 유적 개척자	Pionier Mroźnych Ruin	Pioneiro das Ruínas Gélidas	Первопроходец Ледяных руин	寒霜遗迹拓荒者	寒霜遺跡拓荒者
Achievements/WORLD_3_HEROIC_CLEAR_DESC	Achievements	Clear the Frost Ruins on Heroic difficulty.	Schließe die Eisruine auf Schwierigkeitsgrad Heroisch ab.	Supera las Ruinas Heladas en dificultad Heroica.	Terminez les Ruines gelées en difficulté Héroïque.	Completa le Rovine ghiacciate in modalità Eroica.	難易度ヒロイックで「氷のルーイン」をクリアする。	영웅 이상 난이도에서 서리 유적을 클리어하세요.	Ukończ Mroźne Ruiny na poziomie trudności Heroicznym.	Conclua as Ruínas Gélidas na dificuldade Heroica.	Пройти Ледяные руины на сложности «Героический»	通过英雄难度的寒霜遗迹	通過英雄難度的寒霜遺跡
Achievements/WORLD_4_HEROIC_CLEAR	Achievements	Sealed Citadel Pioneer	Erschließung der Versiegelten Zitadelle	Pionero de la Ciudadela Sellada	Pionnier de la Citadelle interdite	Pioniere della Cittadella Segreta	封印のシタデル開拓記	봉인된 성채 개척자	Pionier Zamkniętej Cytadeli	Pioneiro da Cidade Selada	Первопроходец Запечатанной цитадели	封印之城拓荒者	封印之城拓荒者
Achievements/WORLD_4_HEROIC_CLEAR_DESC	Achievements	Clear the Sealed Citadel on Heroic difficulty.	Schließe die Versiegelte Zitadelle auf Schwierigkeitsgrad Heroisch ab.	Supera la Ciudadela Sellada en dificultad Heroica.	Terminez la Citadelle interdite en difficulté Héroïque.	Completa la Cittadella Segreta in modalità Eroica.	難易度ヒロイックで「封印のシタデル」をクリアする。	영웅 이상 난이도에서 봉인된 성채를 클리어하세요.	Ukończ Zamkniętą Cytadelę na poziomie trudności Heroicznym.	Conclua a Cidade Selada na dificuldade Heroica.	Пройти Запечатанную цитадель на уровне сложности «Героический»	通过英雄难度的封印之城	通過英雄難度的封印之城
Achievements/WORLD_1_HEROIC_SHARD_CLEAR	Achievements	Misty Forest Conqueror	Eroberung des Nebelwalds	Conquistador del Bosque Neblinoso	Conquérant de la Forêt des brumes	Conquistatore della Foresta Nebbiosa	霧のフォレスト征服記	안개숲 정복자	Zdobywca Mglistego Lasu	Conquistador da Floresta Nebulosa	Покоритель Туманного леса	迷雾森林征服者	迷霧森林征服者
Achievements/WORLD_1_HEROIC_SHARD_CLEAR_DESC	Achievements	Without using an event character, clear the Misty Forest on Heroic difficulty with Infernal Shard Level 5 or above.	Schließe den Nebelwald auf Schwierigkeitsgrad Heroisch ohne Ereignischarakter mit Inferno-Splitter-Stufe 5 ab.	Sin usar un personaje de evento, supera el Bosque Neblinoso en dificultad Heroica con un fragmento infernal de nivel 5 o superior.	Sans utiliser un perso d'événement, terminez la Forêt des brumes en difficulté Héroïque avec un éclat infernal au niveau 5 ou plus.	Senza utilizzare un personaggio evento, completa la Foresta nebbiosa in modalità Eroica con una Scheggia infernale di livello 5 o superiore.	難易度ヒロイックかつ非イベントキャラクターで、インフェルノ･シャードレベル5以上の「霧のフォレスト」をクリアする	이벤트 캐릭터를 사용하지 않고 지옥의 파편 5레벨 이상의 영웅 난이도에서 안개숲을 클리어하세요.	Bez użycia postaci eventowej ukończ Mglisty Las na poziomie trudności Heroicznym z Odłamkiem Piekielnym na poziomie 5 lub wyższym.	Sem usar um personagem de evento, conclua a Floresta Nebulosa na dificuldade Heroica com o Fragmento do Inferno no nível 5 ou superior.	Не используя персонажей событий, пройти Туманный лес на уровне сложности «Героический» с осколком преисподней 5-го уровня или выше.	不使用特殊事件角色，通过炼狱裂片等级5以上的英雄难度迷雾森林	不使用特殊事件角色，通過煉獄裂片等級5以上的英雄難度迷霧森林
Achievements/WORLD_2_HEROIC_SHARD_CLEAR	Achievements	Bone Desert Conqueror	Eroberung der Knochenwüste	Conquistador del Desierto Osario	Conquérant du Désert des os	Conquistatore del Deserto delle ossa	骨のデザート征服記	뼈의 사막 정복자	Zdobywca Pustyni Kości	Conquistador do Deserto dos Ossos	Покоритель Костяной пустыни	白骨沙漠征服者	白骨沙漠征服者
Achievements/WORLD_2_HEROIC_SHARD_CLEAR_DESC	Achievements	Without using an event character, clear the Bone Desert on Heroic difficulty with Infernal Shard Level 12 or above.	Schließe die Knochenwüste auf Schwierigkeitsgrad Heroisch ohne Ereignischarakter mit Inferno-Splitter-Stufe 12 ab.	Sin usar un personaje de evento, supera el Desierto Osario en dificultad Heroica con un fragmento infernal de nivel 12 o superior.	Sans utiliser un perso d'événement, terminez le Désert des os en difficulté Héroïque avec un éclat infernal au niveau 12 ou plus.	Senza utilizzare un personaggio evento, completa il Deserto delle ossa in modalità Eroica con un Livello della Scheggia infernale pari o superiore a 12.	難易度ヒロイックかつ非イベントキャラクターで、インフェルノ･シャードレベル12以上の「骨のデザート」をクリアする	이벤트 캐릭터를 사용하지 않고 지옥의 파편 5레벨 이상의 영웅 난이도에서 뼈의 사막을 클리어하세요.	Bez użycia postaci z wydarzenia ukończ Pustynię Kości na poziomie trudności Heroicznym z Piekielnym Odłamkiem na poziomie 12 lub wyższym.	Sem usar um personagem de evento, conclua o Deserto dos Ossos na dificuldade Heroica com o Fragmento do Inferno no nível 12 ou superior.	Не используя персонажей событий, пройти Костяную пустыню на уровне сложности «Героический» с осколком преисподней 12-го уровня или выше.	不使用特殊事件角色，通过炼狱裂片等级12以上的英雄难度白骨沙漠	不使用特殊事件角色，通過煉獄裂片等級12以上的英雄難度白骨沙漠
Achievements/WORLD_3_HEROIC_SHARD_CLEAR	Achievements	Frost Ruins Conqueror	Eroberung der Eisruine	Conquistador de las Ruinas Heladas	Conquérant des Ruines gelées	Conquistatore delle Rovine ghiacciate	氷のルーイン征服記	서리 유적 정복자	Zdobywca Mroźnych Ruin	Conquistador das Ruínas Gélidas	Покоритель Ледяных руин	寒霜遗迹征服者	寒霜遺跡征服者
Achievements/WORLD_3_HEROIC_SHARD_CLEAR_DESC	Achievements	Without using an event character, clear the Frost Ruins on Heroic difficulty with Infernal Shard Level 18 or above.	Schließe die Eisruine auf Schwierigkeitsgrad Heroisch ohne Ereignischarakter mit Inferno-Splitter-Stufe 18 ab.	Sin usar un personaje de evento, supera las Ruinas Heladas en dificultad Heroica con un fragmento infernal de nivel 18 o superior.	Sans utiliser un perso d'événement, terminez les Ruines gelées en difficulté Héroïque avec un éclat infernal au niveau 18 ou plus.	Senza utilizzare un personaggio evento, completa le Rovine ghiacciate in modalità Eroica con un Livello della Scheggia infernale pari o superiore a 18.	難易度ヒロイックかつ非イベントキャラクターで、インフェルノ･シャードレベル18以上の「氷のルーイン」をクリアする	이벤트 캐릭터를 사용하지 않고 지옥의 파편 5레벨 이상의 영웅 난이도에서 서리 유적을 클리어하세요.	Bez użycia postaci z wydarzenia ukończ Mroźne Ruiny na poziomie trudności Heroicznym z Piekielnym Odłamkiem na poziomie 18 lub wyższym.	Sem usar um personagem de evento, conclua as Ruínas Gélidas na dificuldade Heroica com o Fragmento do Inferno no nível 18 ou superior.	Не используя персонажей событий, пройти Ледяные руины на уровне сложности «Героический» с осколком преисподней 18-го уровня или выше.	不使用特殊事件角色，通过炼狱裂片等级18以上的英雄难度寒霜遗迹	不使用特殊事件角色，通過煉獄裂片等級18以上的英雄難度寒霜遺跡
Achievements/WORLD_4_HEROIC_SHARD_CLEAR	Achievements	Sealed Citadel Conqueror	Eroberung der Versiegelten Zitadelle	Conquistador de la Ciudadela Sellada	Conquérant de la Citadelle interdite	Conquistatore della Cittadella Segreta	封印のシタデル征服記	봉인된 성채 정복자	Zdobywca Zamkniętej Cytadeli	Conquistador da Cidade Selada	Покоритель Запечатанной цитадели	封印之城征服者	封印之城征服者
Achievements/WORLD_4_HEROIC_SHARD_CLEAR_DESC	Achievements	Without using an event character, clear the Sealed Citadel on Heroic difficulty with Infernal Shard Level 24.	Schließe die Versiegelte Zitadelle auf Schwierigkeitsgrad Heroisch ohne Ereignischarakter mit Inferno-Splitter-Stufe 24 ab.	Sin usar un personaje de evento, supera la Ciudadela Sellada en dificultad Heroica con un fragmento infernal de nivel 24.	Sans utiliser un perso d'événement, terminez la Citadelle interdite en difficulté Héroïque avec un éclat infernal au niveau 24 ou plus.	Senza utilizzare un personaggio evento, completa la Cittadella Segreta in modalità Eroica con un Livello del Frammento Infernale pari a 24.	難易度ヒロイックかつ非イベントキャラクターで、インフェルノ･シャードレベル24の「封印のシタデル」をクリアする	이벤트 캐릭터를 사용하지 않고 지옥의 파편 5레벨 이상의 영웅 난이도에서 봉인된 성채를 클리어하세요.	Bez użycia postaci z wydarzenia ukończ Zamkniętą Cytadelę na poziomie trudności Heroicznym z Piekielnym Odłamkiem na poziomie 24.	Sem usar um personagem de evento, conclua a Cidade Selada na dificuldade Heroica com o Fragmento do Inferno no nível 24 ou superior.	Не используя персонажей событий, пройти Запечатанную цитадель на уровне сложности «Героический» с осколком преисподней 24-го уровня.	不使用特殊事件角色，通过炼狱裂片等级24的英雄难度封印之城	不使用特殊事件角色，通過煉獄裂片等級24的英雄難度封印之城
Achievements/ENDLESS_CHALLENGE_START	Achievements	Challenge Accepted!	Herausforderung angenommen!	¡Desafío aceptado!	Le défi est relevé !	Sfida accettata!	そのチャレンジ、受けて立つ！	도전 수락!	Wyzwanie podjęte!	Desafio Aceito!	Вызов принят!	接受挑战！	接受挑戰！
Achievements/ENDLESS_CHALLENGE_START_DESC	Achievements	Start a Daily or Weekly Challenge.	Fange eine Tages- oder Wochen-Herausforderung an.	Comienza un desafío diario o semanal.	Démarrez un Défi quotidien ou hebdomadaire.	Avvia una sfida giornaliera o settimanale.	デイリーあるいはウィークリーチャレンジのゲームを始める。	일일 또는 주간 도전을 시작하세요.	Rozpocznij codzienne lub cotygodniowe wyzwanie.	Inicie um Desafio Diário ou Semanal.	Начать ежедневное или еженедельное испытание.	开始一场每日或每周挑战。	開始一場每日或每週挑戰。
Achievements/ENDLESS_CHALLENGE_WAVE_10	Achievements	Skilled Challenger	Herausforderung begonnen	Contendiente hábil	Habitué des défis	Sfidante esperto	腕利きチャレンジャー	능숙한 도전자	Doświadczony zawodnik	Desafiante Habilidoso	Искусный претендент	熟练挑战者	熟練挑戰者
Achievements/ENDLESS_CHALLENGE_WAVE_10_DESC	Achievements	Survive through wave 10 in any Endless mode Daily or Weekly Challenge.	Überlebe Welle 10 einer Tages- oder Wochen-Herausforderung im Endlosmodus.	Sobrevive a la oleada 10 en cualquier modo Infinito del desafío diario o semanal.	Survivez à la vague 10 de n'importe quel Défi quotidien ou hebdomadaire en Mode sans fin.	Sopravvivi fino all’ondata 10 in qualsiasi sfida giornaliera o settimanale in modalità Infinita.	内容を問わず、デイリーあるいはウィークリーチャレンジで10ウェーブ生き延びる。	아무 무한 모드 일일 또는 주간 도전에서 10웨이브 동안 생존하세요.	Przetrwaj do 10. fali w dowolnym codziennym lub cotygodniowym wyzwaniu w trybie Nieskończonym.	Sobreviva por 10 ondas em qualquer Desafio Diário ou Semanal do modo Infinito.	Продержитесь до 10-й волны в любом ежедневном или еженедельном испытании в бесконечном режиме.	在任何无尽模式的每日或每周挑战中，撑过第10波的攻击	在任何無盡模式的每日或每週挑戰中，撐過第10波的攻擊
Achievements/ENDLESS_CHALLENGE_WAVE_15	Achievements	Proven Challenger	Herausforderung im Gange	Contendiente diestro	Pro des défis	Sfidante collaudato	認められしチャレンジャー	증명된 도전자	Sprawdzony zawodnik	Desafiante Experiente	Закаленный претендент	历练挑战者	歷練挑戰者
Achievements/ENDLESS_CHALLENGE_WAVE_15_DESC	Achievements	Survive through wave 15 in any Endless mode Daily or Weekly Challenge.	Überlebe Welle 15 einer Tages- oder Wochen-Herausforderung im Endlosmodus.	Sobrevive a la oleada 15 en cualquier modo Infinito del desafío diario o semanal.	Survivez à la vague 15 de n'importe quel Défi quotidien ou hebdomadaire en Mode sans fin.	Sopravvivi fino all’ondata 15 in qualsiasi sfida giornaliera o settimanale in modalità Infinita.	内容を問わず、デイリーあるいはウィークリーチャレンジで15ウェーブ生き延びる。	아무 무한 모드 일일 또는 주간 도전에서 15웨이브 동안 생존하세요.	Przetrwaj do 15. fali w dowolnym codziennym lub cotygodniowym wyzwaniu w trybie Nieskończonym.	Sobreviva por 15 ondas em qualquer Desafio Diário ou Semanal do modo Infinito.	Продержитесь до 15-й волны в любом ежедневном или еженедельном испытании в режиме «Бесконечность».	在任何无尽模式的每日或每周挑战中，撑过第15波的攻击	在任何無盡模式的每日或每週挑戰中，撐過第15波的攻擊
Achievements/ENDLESS_CHALLENGE_WAVE_20	Achievements	Veteran Challenger	Herausforderung gemeistert	Contendiente veterano	Vétéran des défis	Sfidante veterano	ベテランチャレンジャー	베테랑 도전자	Weteran	Desafiante Veterano	Опытный претендент	资深挑战者	資深挑戰者
Achievements/ENDLESS_CHALLENGE_WAVE_20_DESC	Achievements	Survive through wave 20 in any Endless mode Daily or Weekly Challenge.	Überlebe Welle 20 einer Tages- oder Wochen-Herausforderung im Endlosmodus.	Sobrevive a la oleada 20 en cualquier modo Infinito del desafío diario o semanal.	Survivez à la vague 20 de n'importe quel Défi quotidien ou hebdomadaire en Mode sans fin.	Sopravvivi fino all’ondata 20 in qualsiasi sfida giornaliera o settimanale in modalità Infinita.	内容を問わず、デイリーあるいはウィークリーチャレンジで20ウェーブ生き延びる。	아무 무한 모드 일일 또는 주간 도전에서 20웨이브 동안 생존하세요.	Przetrwaj do 20. fali w dowolnym codziennym lub cotygodniowym wyzwaniu w trybie Nieskończonym.	Sobreviva por 20 ondas em qualquer Desafio Diário ou Semanal do modo Infinito.	Продержитесь до 20-й волны в любом ежедневном или еженедельном испытании в режиме «Бесконечность».	在任何无尽模式的每日或每周挑战中，撑过第20波的攻击	在任何無盡模式的每日或每週挑戰中，撐過第20波的攻擊
Achievements/BOSS_FIGHT_SPECIAL_WORLD_1	Achievements	Welcome To My Backyard	Das ist meine Ecke	Bienvenido a mis dominios	Bienvenue chez moi	Questo è il mio cortile	ようこそ、こちらの縄張りへ	내 구역에 온 걸 환영해	Witaj na moim podwórku	Bem-vindo ao Meu Quintal	Добро пожаловать в мои владения	散步时间	散步時間
Achievements/BOSS_FIGHT_SPECIAL_WORLD_1_DESC	Achievements	On Heroic difficulty, defeat the Inferno Hydra behind the fire source.	Besiege auf Schwierigkeitsgrad Heroisch die Inferno-Hydra hinter der Feuerquelle.	En dificultad Heroica, derrota a la Hidra del infierno que lo quema todo.	En difficulté Héroïque, battez l'Hydre infernale derrière la source de feu.	Sconfiggi l’Idra infernale dietro la fonte del fuoco in difficoltà Eroica.	ヒロイックのインフェルノヒドラ戦で、ボスを命の炎の裏手に誘い出して撃破する。	영웅 난이도에서 불의 원천 뒤쪽에서 지옥의 히드라를 물리치세요.	Na poziomie trudności Heroicznym pokonaj Piekielną Hydrę znajdującą się za źródłem ognia.	Na dificuldade Heroica, derrote a Hidra do Inferno atrás da fonte de fogo.	На уровне сложности «Героический» победите адскую гидру, скрывающуюся за источником огня.	在英雄难度与炼狱三头蛇的战斗中，在火源的后方击败它	在英雄難度與煉獄三頭蛇的戰鬥中，在火源的後方擊敗它
Achievements/BOSS_FIGHT_SPECIAL_WORLD_2	Achievements	Back And Forth And Back And Forth	Hin, her und wieder zurück	Vaivén y meneo	Ça va, ça vient	Avanti e indietro, avanti e indietro	行ったり来たり、行ったり来たり	앞 뒤 앞 뒤	Tam i z powrotem, tam i z powrotem	Vai e Vem e Vai e Vem	Туда-сюда, туда-сюда	列车巡回	列車巡迴
